Date,Actual_price,Forecasted_Price
2000-08-07 00:00:00,3.63,5.53
2000-08-08 00:00:00,4.23,5.51
2000-08-09 00:00:00,4.03,5.48
2000-08-10 00:00:00,3.87,5.47
2000-08-11 00:00:00,3.99,5.45
2000-08-14 00:00:00,4.29,5.39
2000-08-15 00:00:00,4.36,5.37
2000-08-16 00:00:00,4.44,5.35
2000-08-17 00:00:00,4.38,5.35
2000-08-18 00:00:00,4.58,5.33
2000-08-21 00:00:00,5.28,5.28
2000-08-22 00:00:00,4.81,5.27
2000-08-23 00:00:00,4.75,5.25
2000-08-24 00:00:00,4.93,5.25
2000-08-25 00:00:00,4.94,5.23
2000-08-28 00:00:00,4.75,5.19
2000-08-29 00:00:00,4.58,5.18
2000-08-30 00:00:00,4.5,5.16
2000-08-31 00:00:00,4.88,5.15
2000-09-01 00:00:00,5.03,5.14
2000-09-05 00:00:00,4.87,5.07
2000-09-06 00:00:00,4.72,5.05
2000-09-07 00:00:00,4.88,5.04
2000-09-08 00:00:00,4.88,5.02
2000-09-11 00:00:00,4.86,4.96
2000-09-12 00:00:00,4.91,4.94
2000-09-13 00:00:00,4.95,4.92
2000-09-14 00:00:00,4.73,4.91
2000-09-15 00:00:00,4.44,4.88
2000-09-18 00:00:00,4.05,4.82
2000-09-19 00:00:00,4.2,4.8
2000-09-20 00:00:00,4.07,4.77
2000-09-21 00:00:00,4.08,4.76
2000-09-22 00:00:00,3.97,4.73
2000-09-25 00:00:00,4.17,4.67
2000-09-26 00:00:00,4.01,4.65
2000-09-27 00:00:00,4.11,4.63
2000-09-28 00:00:00,4.14,4.62
2000-09-29 00:00:00,4.12,4.6
2000-10-02 00:00:00,3.97,4.54
2000-10-03 00:00:00,3.71,4.53
2000-10-04 00:00:00,3.72,4.51
2000-10-05 00:00:00,3.78,4.5
2000-10-06 00:00:00,3.7,4.49
2000-10-09 00:00:00,3.76,4.45
2000-10-10 00:00:00,3.56,4.44
2000-10-11 00:00:00,3.3,4.42
2000-10-12 00:00:00,3.51,4.42
2000-10-13 00:00:00,3.69,4.41
2000-10-16 00:00:00,3.66,4.38
2000-10-17 00:00:00,3.53,4.37
2000-10-18 00:00:00,3.45,4.36
2000-10-19 00:00:00,3.96,4.36
2000-10-20 00:00:00,3.97,4.34
2000-10-23 00:00:00,3.72,4.31
2000-10-24 00:00:00,3.92,4.3
2000-10-25 00:00:00,3.84,4.28
2000-10-26 00:00:00,3.9,4.28
2000-10-27 00:00:00,4.04,4.26
2000-10-30 00:00:00,3.94,4.21
2000-10-31 00:00:00,4.3,4.19
2000-11-01 00:00:00,4.49,4.17
2000-11-02 00:00:00,4.48,4.16
2000-11-03 00:00:00,4.38,4.14
2000-11-06 00:00:00,4.31,4.09
2000-11-07 00:00:00,4.28,4.07
2000-11-08 00:00:00,4.21,4.05
2000-11-09 00:00:00,4.2,4.04
2000-11-10 00:00:00,4.0,4.02
2000-11-13 00:00:00,3.8,3.97
2000-11-14 00:00:00,3.99,3.95
2000-11-15 00:00:00,3.98,3.94
2000-11-16 00:00:00,3.87,3.93
2000-11-17 00:00:00,3.91,3.92
2000-11-20 00:00:00,3.93,3.88
2000-11-21 00:00:00,4.18,3.87
2000-11-22 00:00:00,4.11,3.86
2000-11-24 00:00:00,4.2,3.85
2000-11-27 00:00:00,4.11,3.82
2000-11-28 00:00:00,3.91,3.81
2000-11-29 00:00:00,3.97,3.8
2000-11-30 00:00:00,3.75,3.8
2000-12-01 00:00:00,3.87,3.79
2000-12-04 00:00:00,3.66,3.76
2000-12-05 00:00:00,4.16,3.75
2000-12-06 00:00:00,3.94,3.73
2000-12-07 00:00:00,3.79,3.73
2000-12-08 00:00:00,3.92,3.72
2000-12-11 00:00:00,4.33,3.68
2000-12-12 00:00:00,4.26,3.67
2000-12-13 00:00:00,4.22,3.65
2000-12-14 00:00:00,4.11,3.65
2000-12-15 00:00:00,3.86,3.63
2000-12-18 00:00:00,3.75,3.59
2000-12-19 00:00:00,3.64,3.58
2000-12-20 00:00:00,3.47,3.57
2000-12-21 00:00:00,3.28,3.56
2000-12-22 00:00:00,3.06,3.55
2000-12-26 00:00:00,2.97,3.51
2000-12-27 00:00:00,3.06,3.5
2000-12-28 00:00:00,2.92,3.5
2000-12-29 00:00:00,2.88,3.49
2001-01-02 00:00:00,2.73,3.45
2001-01-03 00:00:00,3.23,3.44
2001-01-04 00:00:00,3.09,3.44
2001-01-05 00:00:00,2.96,3.43
2001-01-08 00:00:00,2.9,3.4
2001-01-09 00:00:00,3.03,3.39
2001-01-10 00:00:00,2.96,3.38
2001-01-11 00:00:00,3.06,3.37
2001-01-12 00:00:00,3.16,3.36
2001-01-16 00:00:00,3.53,3.3
2001-01-17 00:00:00,3.53,3.29
2001-01-18 00:00:00,3.67,3.28
2001-01-19 00:00:00,3.9,3.26
2001-01-22 00:00:00,3.76,3.22
2001-01-23 00:00:00,3.75,3.2
2001-01-24 00:00:00,3.74,3.19
2001-01-25 00:00:00,3.67,3.18
2001-01-26 00:00:00,3.68,3.17
2001-01-29 00:00:00,3.81,3.14
2001-01-30 00:00:00,3.84,3.13
2001-01-31 00:00:00,3.78,3.11
2001-02-01 00:00:00,3.79,3.11
2001-02-02 00:00:00,3.6,3.1
2001-02-05 00:00:00,3.57,3.08
2001-02-06 00:00:00,3.59,3.08
2001-02-07 00:00:00,3.38,3.07
2001-02-08 00:00:00,3.42,3.07
2001-02-09 00:00:00,3.47,3.06
2001-02-12 00:00:00,3.66,3.04
2001-02-13 00:00:00,3.53,3.03
2001-02-14 00:00:00,3.4,3.02
2001-02-15 00:00:00,3.38,3.02
2001-02-16 00:00:00,3.39,3.0
2001-02-20 00:00:00,3.28,2.95
2001-02-21 00:00:00,2.84,2.93
2001-02-22 00:00:00,2.83,2.93
2001-02-23 00:00:00,3.12,2.91
2001-02-26 00:00:00,3.07,2.85
2001-02-27 00:00:00,2.98,2.84
2001-02-28 00:00:00,2.88,2.82
2001-03-01 00:00:00,2.82,2.8
2001-03-02 00:00:00,2.28,2.78
2001-03-05 00:00:00,2.38,2.73
2001-03-06 00:00:00,2.47,2.71
2001-03-07 00:00:00,2.47,2.69
2001-03-08 00:00:00,2.28,2.69
2001-03-09 00:00:00,2.09,2.67
2001-03-12 00:00:00,2.07,2.63
2001-03-13 00:00:00,2.04,2.62
2001-03-14 00:00:00,2.06,2.6
2001-03-15 00:00:00,2.22,2.6
2001-03-16 00:00:00,2.22,2.59
2001-03-19 00:00:00,2.11,2.56
2001-03-20 00:00:00,2.01,2.55
2001-03-21 00:00:00,1.97,2.53
2001-03-22 00:00:00,2.12,2.53
2001-03-23 00:00:00,2.13,2.52
2001-03-26 00:00:00,2.09,2.49
2001-03-27 00:00:00,2.4,2.48
2001-03-28 00:00:00,2.32,2.47
2001-03-29 00:00:00,2.16,2.47
2001-03-30 00:00:00,2.05,2.47
2001-04-02 00:00:00,1.94,2.44
2001-04-03 00:00:00,1.8,2.43
2001-04-04 00:00:00,1.75,2.42
2001-04-05 00:00:00,2.03,2.41
2001-04-06 00:00:00,1.88,2.4
2001-04-09 00:00:00,2.06,2.37
2001-04-10 00:00:00,2.23,2.35
2001-04-11 00:00:00,1.73,2.34
2001-04-12 00:00:00,1.77,2.34
2001-04-16 00:00:00,1.68,2.29
2001-04-17 00:00:00,1.7,2.28
2001-04-18 00:00:00,2.0,2.27
2001-04-19 00:00:00,2.12,2.27
